Year,Model,Time_s,Tokens_Out,Fact_Recall_Pct,Hallucinations_Count,Repetition_Pct,Word_Count
2023-2024,gpt2,21.26,300,0.0,10,69.15,94
2023-2024,deepseek-chat,10.83,483,6.78,3,29.02,286
2023-2024,deepseek-reasoner,14.62,659,8.47,3,30.28,284
2021-2022,gpt2,30.92,300,0.0,0,54.86,144
2021-2022,deepseek-chat,11.81,527,9.09,8,30.82,305
2021-2022,deepseek-reasoner,17.8,787,7.27,2,31.12,286
2025-2026,gpt2,26.28,300,1.79,0,54.95,91
2025-2026,deepseek-chat,11.14,486,14.29,5,31.62,291
2025-2026,deepseek-reasoner,17.28,803,12.5,5,27.78,288
2022-2023,gpt2,26.67,300,5.26,0,21.74,92
2022-2023,deepseek-chat,9.64,441,7.02,7,28.69,244
2022-2023,deepseek-reasoner,14.53,681,7.02,4,31.39,274
2024-2025,gpt2,26.71,300,3.45,0,41.12,107
2024-2025,deepseek-chat,10.11,452,8.62,4,29.34,259
2024-2025,deepseek-reasoner,15.34,678,10.34,6,31.16,276
combined,gpt2,26.24,300,2.17,0,41.23,114
combined,deepseek-chat,16.74,761,10.87,7,36.5,411
combined,deepseek-reasoner,19.95,960,15.22,11,37.36,447
